#GCMS data for experiment recorded on 191003,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
"#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y), Beetle chomped (B), ant chomped (A), ant injured from the beginning(I) , normal run (N)",,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.439,7.41,7.465,TIC,5501685,93.64,5810796,94.91,0.95,L,N
L,1,D50C24,9.505,9.48,9.53,TIC,246635,4.2,252883,4.13,0.98,L,N
L,1,D62C30,12.361,12.34,12.385,TIC,126741,2.16,58610,0.96,2.16,L,N
S,1,C18,7.439,7.41,7.46,TIC,5798563,99.58,5921687,99.67,0.98,L,N
S,1,D50C24,9.504,9.48,9.53,TIC,19163,0.33,17290,0.29,1.11,L,N
S,1,D62C30,12.36,12.34,12.385,TIC,5076,0.09,2060,0.03,2.46,L,N
L,2,C18,7.439,7.415,7.46,TIC,5806365,99.38,6107613,99.46,0.95,U,N
L,2,D50C24,9.53,9.48,9.53,TIC,2709,0.05,1704,0.03,1.59,U,N
L,2,D62C30,12.385,12.34,12.385,TIC,33670,0.58,31240,0.51,1.08,U,N
S,2,C18,7.439,7.41,7.46,TIC,5944072,99.92,6132225,99.96,0.97,U,N
S,2,D50C24,9.53,9.48,9.53,TIC,4234,0.07,2354,0.04,1.8,U,N
S,2,D62C30,12.385,12.34,12.385,TIC,492,0.01,353,0.01,1.39,U,N
L,3,C18,7.439,7.41,7.465,TIC,5907976,99.69,5955361,99.7,0.99,U,N
L,3,D50C24,9.53,9.48,9.53,TIC,323,0.01,207,0,1.56,U,N
L,3,D62C30,12.385,12.34,12.385,TIC,18289,0.31,17477,0.29,1.05,U,N
S,3,C18,7.438,7.41,7.46,TIC,5883875,99.96,5923972,99.98,0.99,U,N
S,3,D50C24,9.53,9.48,9.53,TIC,2228,0.04,1046,0.02,2.13,U,N
S,3,D62C30,12.385,12.34,12.385,TIC,289,0,415,0.01,0.7,U,N
L,4,C18,7.438,7.41,7.46,TIC,5784242,93.62,5898036,94.92,0.98,L,Y
L,4,D50C24,9.502,9.48,9.53,TIC,264709,4.28,255419,4.11,1.04,L,Y
L,4,D62C30,12.356,12.34,12.385,TIC,129741,2.1,60063,0.97,2.16,L,Y
S,4,C18,7.438,7.41,7.46,TIC,5852321,99.91,5765978,99.93,1.01,L,Y
S,4,D50C24,9.53,9.48,9.53,TIC,5209,0.09,3870,0.07,1.35,L,Y
S,4,D62C30,12.385,12.33,12.385,TIC,26,0,125,0,0.21,L,Y
L,5,C18,7.438,7.405,7.46,TIC,5893710,99.13,6014575,99.21,0.98,U,I
L,5,D50C24,9.53,9.48,9.53,TIC,1834,0.03,1124,0.02,1.63,U,I
L,5,D62C30,12.385,12.34,12.385,TIC,50158,0.84,46674,0.77,1.07,U,I
P,5,C18,7.438,7.405,7.46,TIC,5949861,99.38,5887266,99.35,1.01,U,I
P,5,D50C24,9.53,9.48,9.53,TIC,4242,0.07,3654,0.06,1.16,U,I
P,5,D62C30,12.385,12.34,12.385,TIC,33139,0.55,35022,0.59,0.95,U,I
L,6,C18,7.438,7.41,7.455,TIC,5725368,92.04,5728462,93.08,1,L,N
L,6,D50C24,9.499,9.475,9.525,TIC,334660,5.38,346308,5.63,0.97,L,N
L,6,D62C30,12.353,12.34,12.385,TIC,160472,2.58,79453,1.29,2.02,L,N
P,6,C18,7.437,7.41,7.455,TIC,5733821,99.38,5814488,99.37,0.99,L,N
P,6,D50C24,9.525,9.475,9.525,TIC,2081,0.04,2969,0.05,0.7,L,N
P,6,D62C30,12.385,12.34,12.385,TIC,33795,0.59,34186,0.58,0.99,L,N
L,7,C18,7.437,7.405,7.455,TIC,6138489,99.54,5782388,99.51,1.06,L,Y
L,7,D50C24,9.53,9.48,9.53,TIC,743,0.01,903,0.02,0.82,L,Y
L,7,D62C30,12.385,12.34,12.385,TIC,27783,0.45,27612,0.48,1.01,L,Y
P,7,C18,7.437,7.405,7.46,TIC,6026168,99.68,5766720,99.61,1.04,L,Y
P,7,D50C24,9.53,9.48,9.53,TIC,2483,0.04,2555,0.04,0.97,L,Y
P,7,D62C30,12.385,12.34,12.385,TIC,16820,0.28,19795,0.34,0.85,L,Y
L,8,C18,7.435,7.41,7.455,TIC,5777707,99.61,6063948,99.69,0.95,U,I
L,8,D50C24,9.53,9.48,9.53,TIC,2063,0.04,910,0.01,2.27,U,I
L,8,D62C30,12.385,12.34,12.385,TIC,20331,0.35,18031,0.3,1.13,U,I
P,8,C18,7.435,7.41,7.455,TIC,5878705,99.23,6034020,99.32,0.97,U,I
P,8,D50C24,9.525,9.475,9.525,TIC,1583,0.03,1413,0.02,1.12,U,I
P,8,D62C30,12.385,12.34,12.385,TIC,43983,0.74,39852,0.66,1.1,U,I
