#GCMS data for experiment recorded on 191025,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); ant injured from the beginning(AI); beetle injured/dessicates early(BI); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.438,7.41,7.455,TIC,3527731,97.26,4143914,98.13,0.85,L,N
L,1,D50C24,9.499,9.475,9.525,TIC,66668,1.84,64323,1.52,1.04,L,N
L,1,D62C30,12.352,12.33,12.375,TIC,32851,0.91,14563,0.34,2.26,L,N
S,1,C18,7.436,7.41,7.455,TIC,3412614,99.77,4055680,99.88,0.84,L,N
S,1,D50C24,9.499,9.475,9.525,TIC,5994,0.18,4126,0.1,1.45,L,N
S,1,D62C30,12.35,12.33,12.375,TIC,1856,0.05,709,0.02,2.62,L,N
L,2,C18,7.437,7.415,7.455,TIC,3324981,99.7,3892545,99.76,0.85,U,AI
L,2,D50C24,9.525,9.475,9.525,TIC,293,0.01,167,0,1.75,U,AI
L,2,D62C30,12.335,12.33,12.375,TIC,9735,0.29,9080,0.23,1.07,U,AI
S,2,C18,7.436,7.415,7.455,TIC,3593541,99.86,4448977,99.9,0.81,U,AI
S,2,D50C24,9.525,9.475,9.525,TIC,4448,0.12,3935,0.09,1.13,U,AI
S,2,D62C30,12.375,12.33,12.375,TIC,608,0.02,308,0.01,1.97,U,AI
L,3,C18,7.436,7.41,7.455,TIC,3674674,99.9,4477844,99.91,0.82,U,N
L,3,D50C24,9.525,9.475,9.525,TIC,245,0.01,172,0,1.42,U,N
L,3,D62C30,12.375,12.33,12.375,TIC,3379,0.09,3912,0.09,0.86,U,N
S,3,C18,7.436,7.41,7.455,TIC,3591118,99.96,4433118,99.98,0.81,U,N
S,3,D50C24,9.525,9.475,9.525,TIC,822,0.02,571,0.01,1.44,U,N
S,3,D62C30,12.375,12.33,12.375,TIC,740,0.02,328,0.01,2.26,U,N
L,4,C18,7.436,7.41,7.455,TIC,3667109,98.72,4496074,99.24,0.82,L,N
L,4,D50C24,9.498,9.475,9.525,TIC,27190,0.73,26195,0.58,1.04,L,N
L,4,D62C30,12.349,12.33,12.375,TIC,20325,0.55,8206,0.18,2.48,L,N
S,4,C18,7.435,7.41,7.455,TIC,3603605,99.87,4522355,99.94,0.8,L,N
S,4,D50C24,9.498,9.475,9.525,TIC,2925,0.08,1997,0.04,1.46,L,N
S,4,D62C30,12.375,12.33,12.375,TIC,1590,0.04,607,0.01,2.62,L,N
L,5,C18,7.437,7.41,7.455,TIC,3695348,99.9,4270602,99.91,0.87,U,N
L,5,D50C24,9.525,9.475,9.525,TIC,340,0.01,163,0,2.09,U,N
L,5,D62C30,12.375,12.33,12.375,TIC,3460,0.09,3786,0.09,0.91,U,N
S,5,C18,7.435,7.41,7.455,TIC,3489715,99.95,4291174,99.97,0.81,U,N
S,5,D50C24,9.525,9.475,9.525,TIC,987,0.03,723,0.02,1.37,U,N
S,5,D62C30,12.375,12.33,12.375,TIC,848,0.02,377,0.01,2.25,U,N
L,6,C18,7.434,7.405,7.455,TIC,3744836,97.47,4600564,98.35,0.81,L,N
L,6,D50C24,9.498,9.475,9.525,TIC,64317,1.67,62675,1.34,1.03,L,N
L,6,D62C30,12.345,12.33,12.375,TIC,32893,0.86,14574,0.31,2.26,L,N
S,6,C18,7.434,7.41,7.45,TIC,3595910,99.78,4635460,99.91,0.78,L,N
S,6,D50C24,9.496,9.475,9.525,TIC,5639,0.16,3333,0.07,1.69,L,N
S,6,D62C30,12.345,12.33,12.375,TIC,2185,0.06,854,0.02,2.56,L,N
L,7,C18,7.434,7.41,7.45,TIC,3662099,97.26,4462567,98.51,0.82,L,N
L,7,D50C24,9.494,9.475,9.525,TIC,41784,1.11,41840,0.92,1,L,N
L,7,D62C30,12.342,12.32,12.375,TIC,61224,1.63,25743,0.57,2.38,L,N
S,7,C18,7.433,7.41,7.45,TIC,3535988,99.83,4297363,99.93,0.82,L,N
S,7,D50C24,9.496,9.475,9.525,TIC,4176,0.12,2142,0.05,1.95,L,N
S,7,D62C30,12.345,12.33,12.375,TIC,1830,0.05,694,0.02,2.64,L,N
L,8,C18,7.433,7.41,7.45,TIC,3261017,99.87,3938008,99.9,0.83,U,N
L,8,D50C24,9.525,9.475,9.525,TIC,211,0.01,125,0,1.69,U,N
L,8,D62C30,12.375,12.33,12.375,TIC,3938,0.12,3727,0.09,1.06,U,N
S,8,C18,7.433,7.41,7.45,TIC,3315112,99.96,4204455,99.98,0.79,U,N
S,8,D50C24,9.525,9.475,9.525,TIC,715,0.02,596,0.01,1.2,U,N
S,8,D62C30,12.375,12.33,12.375,TIC,666,0.02,297,0.01,2.24,U,N
