#GCMS data for experiment recorded on 191029; accidentally flipped axis when extracting. Flipped WellNumber in this document. The well numbers in the GCMS files are wrong.,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); ant injured from the beginning(AI); beetle injured/dessicates early(BI); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,8,C18,7.431,7.405,7.45,TIC,2684324,99.87,3445954,99.9,0.78,U,BI
L,8,D50C24,9.48,9.475,9.525,TIC,109,0,48,0,2.27,U,BI
L,8,D62C30,12.365,12.32,12.365,TIC,3456,0.13,3332,0.1,1.04,U,BI
D,8,C18,7.43,7.405,7.45,TIC,2841347,99.87,3748815,99.94,0.76,U,BI
D,8,D50C24,9.525,9.475,9.525,TIC,1907,0.07,1272,0.03,1.5,U,BI
D,8,D62C30,12.365,12.32,12.365,TIC,1789,0.06,961,0.03,1.86,U,BI
L,7,C18,7.431,7.405,7.45,TIC,3007496,83.81,3982839,90.73,0.76,L,N
L,7,D50C24,9.493,9.475,9.525,TIC,188248,5.25,184641,4.21,1.02,L,N
L,7,D62C30,12.344,12.32,12.365,TIC,392883,10.95,222501,5.07,1.77,L,N
D,7,C18,7.43,7.405,7.45,TIC,2970903,99.59,3888381,99.7,0.76,L,N
D,7,D50C24,9.525,9.475,9.525,TIC,2967,0.1,2816,0.07,1.05,L,N
D,7,D62C30,12.365,12.32,12.365,TIC,9396,0.31,8902,0.23,1.06,L,N
L,6,C18,7.43,7.405,7.455,TIC,3226249,89.88,4202644,93.41,0.77,L,N
L,6,D50C24,9.492,9.475,9.525,TIC,203235,5.66,205144,4.56,0.99,L,N
L,6,D62C30,12.339,12.32,12.365,TIC,159984,4.46,91485,2.03,1.75,L,N
D,6,C18,7.429,7.405,7.45,TIC,3218106,99.66,4092060,99.73,0.79,L,N
D,6,D50C24,9.525,9.475,9.525,TIC,2083,0.06,2231,0.05,0.93,L,N
D,6,D62C30,12.365,12.32,12.365,TIC,8879,0.27,8998,0.22,0.99,L,N
L,5,C18,7.43,7.405,7.45,TIC,3252517,99.8,4269159,99.85,0.76,U,N
L,5,D50C24,9.525,9.475,9.525,TIC,546,0.02,211,0,2.59,U,N
L,5,D62C30,12.365,12.32,12.365,TIC,5968,0.18,6163,0.14,0.97,U,N
D,5,C18,7.43,7.405,7.445,TIC,3162606,99.74,4175139,99.8,0.76,U,N
D,5,D50C24,9.525,9.475,9.525,TIC,2685,0.08,2530,0.06,1.06,U,N
D,5,D62C30,12.365,12.32,12.365,TIC,5686,0.18,5678,0.14,1,U,N
L,4,C18,7.43,7.405,7.45,TIC,3218719,85.3,4212136,92.09,0.76,L,N
L,4,D50C24,9.493,9.475,9.525,TIC,135511,3.59,131985,2.89,1.03,L,N
L,4,D62C30,12.341,12.32,12.365,TIC,419316,11.11,229655,5.02,1.83,L,N
D,4,C18,7.429,7.405,7.45,TIC,3186253,99.7,4241105,99.77,0.75,L,N
D,4,D50C24,9.525,9.475,9.525,TIC,2408,0.08,2419,0.06,1,L,N
D,4,D62C30,12.365,12.32,12.365,TIC,7064,0.22,7165,0.17,0.99,L,N
L,3,C18,7.43,7.405,7.45,TIC,3156149,99.85,4063544,99.87,0.78,U,N
L,3,D50C24,9.525,9.475,9.525,TIC,45,0,46,0,0.98,U,N
L,3,D62C30,12.365,12.32,12.365,TIC,4612,0.15,5077,0.12,0.91,U,N
D,3,C18,7.428,7.4,7.465,TIC,3178716,99.75,3988346,99.8,0.8,U,N
D,3,D50C24,9.525,9.475,9.525,TIC,3110,0.1,3104,0.08,1,U,N
D,3,D62C30,12.365,12.32,12.365,TIC,4894,0.15,4730,0.12,1.03,U,N
L,2,C18,7.428,7.4,7.455,TIC,3158755,99.8,3955073,99.83,0.8,U,B
L,2,D50C24,9.522,9.475,9.525,TIC,118,0,53,0,2.23,U,B
L,2,D62C30,12.365,12.32,12.365,TIC,6259,0.2,6599,0.17,0.95,U,B
D,2,C18,7.428,7.405,7.45,TIC,3077419,99.52,3928095,99.75,0.78,U,B
D,2,D50C24,9.497,9.475,9.525,TIC,7292,0.24,3658,0.09,1.99,U,B
D,2,D62C30,12.365,12.32,12.365,TIC,7503,0.24,6146,0.16,1.22,U,B
L,1,C18,7.428,7.4,7.45,TIC,3565793,92.58,4163286,95.21,0.86,L,B
L,1,D50C24,9.491,9.475,9.525,TIC,105983,2.75,109639,2.51,0.97,L,B
L,1,D62C30,12.336,12.32,12.365,TIC,179711,4.67,99836,2.28,1.8,L,B
D,1,C18,7.428,7.405,7.45,TIC,3218004,99.26,4022446,99.58,0.8,L,B
D,1,D50C24,9.496,9.475,9.525,TIC,10254,0.32,5004,0.12,2.05,L,B
D,1,D62C30,12.365,12.32,12.365,TIC,13626,0.42,11795,0.29,1.16,L,B
