#GCMS data for experiment recorded on 191113.,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: include Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.429,7.405,7.45,TIC,832811,83.56,966343,88.26,0.86,L,N
L,1,D50C24,9.489,9.47,9.52,TIC,64410,6.46,70013,6.39,0.92,L,N
L,1,D62C30,12.334,12.315,12.36,TIC,99476,9.98,58487,5.34,1.7,L,N
P,1,C18,7.428,7.4,7.45,TIC,870691,99.59,925062,99.76,0.94,L,N
P,1,D50C24,9.52,9.47,9.52,TIC,1475,0.17,690,0.07,2.14,L,N
P,1,D62C30,12.36,12.315,12.36,TIC,2084,0.24,1577,0.17,1.32,L,N
L,2,C18,7.428,7.4,7.45,TIC,890171,99.69,956870,99.77,0.93,U,N
L,2,D50C24,9.52,9.47,9.52,TIC,265,0.03,214,0.02,1.24,U,N
L,2,D62C30,12.36,12.315,12.36,TIC,2493,0.28,1988,0.21,1.25,U,N
P,2,C18,7.428,7.4,7.45,TIC,890449,99.54,931701,99.57,0.96,U,N
P,2,D50C24,9.52,9.47,9.52,TIC,732,0.08,471,0.05,1.55,U,N
P,2,D62C30,12.36,12.315,12.36,TIC,3399,0.38,3520,0.38,0.97,U,N
L,3,C18,7.428,7.4,7.45,TIC,895396,99.63,984364,99.72,0.91,U,N
L,3,D50C24,9.52,9.47,9.52,TIC,759,0.08,697,0.07,1.09,U,N
L,3,D62C30,12.36,12.315,12.36,TIC,2530,0.28,2036,0.21,1.24,U,N
P,3,C18,7.427,7.395,7.455,TIC,906615,99.52,932579,99.51,0.97,U,N
P,3,D50C24,9.52,9.47,9.52,TIC,705,0.08,488,0.05,1.44,U,N
P,3,D62C30,12.36,12.315,12.36,TIC,3628,0.4,4099,0.44,0.89,U,N
L,4,C18,7.427,7.4,7.45,TIC,925589,92.52,949335,94.22,0.97,L,N
L,4,D50C24,9.488,9.47,9.52,TIC,38901,3.89,38738,3.84,1,L,N
L,4,D62C30,12.331,12.315,12.36,TIC,35891,3.59,19502,1.94,1.84,L,N
P,4,C18,7.428,7.4,7.45,TIC,875374,99.48,967020,99.65,0.91,L,N
P,4,D50C24,9.52,9.47,9.52,TIC,1206,0.14,597,0.06,2.02,L,N
P,4,D62C30,12.36,12.315,12.36,TIC,3392,0.39,2789,0.29,1.22,L,N
L,5,C18,7.428,7.4,7.455,TIC,928583,99.72,1006358,99.81,0.92,U,N
L,5,D50C24,9.52,9.47,9.52,TIC,526,0.06,391,0.04,1.35,U,N
L,5,D62C30,12.36,12.315,12.36,TIC,2094,0.22,1514,0.15,1.38,U,N
P,5,C18,7.429,7.4,7.45,TIC,875621,99.58,973103,99.64,0.9,U,N
P,5,D50C24,9.52,9.47,9.52,TIC,365,0.04,241,0.02,1.51,U,N
P,5,D62C30,12.36,12.315,12.36,TIC,3313,0.38,3305,0.34,1,U,N
L,6,C18,7.429,7.4,7.45,TIC,901616,93.98,982613,95.63,0.92,U,N
L,6,D50C24,9.488,9.47,9.52,TIC,31560,3.29,31428,3.06,1,L,N
L,6,D62C30,12.331,12.315,12.36,TIC,26235,2.73,13497,1.31,1.94,L,N
P,6,C18,7.428,7.4,7.445,TIC,896613,99.35,964277,99.6,0.93,L,N
P,6,D50C24,9.489,9.47,9.52,TIC,1666,0.18,783,0.08,2.13,L,N
P,6,D62C30,12.36,12.315,12.36,TIC,4186,0.46,3075,0.32,1.36,L,N
L,7,C18,7.427,7.4,7.45,TIC,912361,89.07,960254,91.71,0.95,L,N
L,7,D50C24,9.489,9.47,9.52,TIC,45842,4.48,48702,4.65,0.94,L,N
L,7,D62C30,12.332,12.315,12.36,TIC,66116,6.45,38133,3.64,1.73,L,N
P,7,C18,7.428,7.4,7.45,TIC,862002,99.45,915595,99.62,0.94,L,N
P,7,D50C24,9.52,9.47,9.52,TIC,984,0.11,481,0.05,2.05,L,N
P,7,D62C30,12.36,12.315,12.36,TIC,3776,0.44,3047,0.33,1.24,L,N
L,8,C18,7.427,7.4,7.45,TIC,928020,99.56,969452,99.61,0.96,U,N
L,8,D50C24,9.52,9.47,9.52,TIC,817,0.09,639,0.07,1.28,U,N
L,8,D62C30,12.36,12.315,12.36,TIC,3276,0.35,3158,0.32,1.04,U,N
P,8,C18,7.428,7.4,7.445,TIC,905938,99.59,990301,99.68,0.91,U,N
P,8,D50C24,9.52,9.47,9.52,TIC,1344,0.15,975,0.1,1.38,U,N
P,8,D62C30,12.36,12.315,12.36,TIC,2342,0.26,2161,0.22,1.08,U,N
