,well number,species,collection date,file path,length lower,length upper,touching percent
0,1,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_1DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.5977024314075396
1,2,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_2DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.23560115993754183
2,3,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_3DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.282221726522418
3,4,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_4DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.3013941556993085
4,5,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_5DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.30645772919919695
5,6,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_6DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.2363484273923712
6,7,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_7DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.24015168414008475
7,8,S,190919,.\190919\190919_DCHC_transfer_experiment_S_well_8DeepCut_resnet50_DCHC_transfer_analysis_20190919_SOct2shuffle1_80000.csv,,120,0.3916127593129601
8,1,S,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191003_SOct9shuffle1_80000.csv,,120,0.23591415376256453
9,2,S,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191003_SOct9shuffle1_80000.csv,,120,0.34683509915783756
10,3,S,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191003_SOct9shuffle1_80000.csv,,120,0.0389160554197229
11,5,P,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_5DeepCut_resnet50_DCHC_transfer_analysis_20191003_POct14shuffle1_80000.csv,,120,0.0613012768269492
12,6,P,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_6DeepCut_resnet50_DCHC_transfer_analysis_20191003_POct14shuffle1_80000.csv,,120,0.003762564520510731
13,7,P,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_7DeepCut_resnet50_DCHC_transfer_analysis_20191003_POct14shuffle1_80000.csv,,120,0.011994023363216517
14,8,P,191003,.\191003\191003_DCHC_transfer_experiment_SP_well_8DeepCut_resnet50_DCHC_transfer_analysis_20191003_POct14shuffle1_80000.csv,,120,0.003925563705514805
15,1,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_1DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.12489434443084764
16,2,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_2DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.1588681292341075
17,3,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_3DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.26758928684067773
18,4,P,191008,.\191008\191008_DCHC_transfer_experiment_P_well_4DeepCut_resnet50_DCHC_transfer_analysis_20191012_POct23shuffle1_40000.csv,,110,0.11023502844815623
