,Video Date,WellNumber,species,Outlier,touching
0,190919,1,S,N,0.32283069373187595
1,190919,2,S,N,0.13532232879768014
2,190919,3,S,BI,0.18999553870176222
3,190919,4,S,BI,0.19344189159045283
4,190919,5,S,N,0.2450925719384341
5,190919,6,S,AI,0.1731764443453045
6,190919,7,S,N,0.14252732545170646
7,190919,8,S,N,0.2956167744813741
8,191003,1,S,BI,0.13763922847052432
9,191003,2,S,BI,0.26096169519152407
10,191003,3,S,BI,0.008299375169790818
11,191003,5,P,AI,0.0007334963325183374
12,191003,6,P,N,0.0006927465362673187
13,191003,7,P,Y,0.0003939146970931812
14,191003,8,P,AI,1.3583265417006248e-05
15,191008,1,P,N,0.005550859752482117
16,191008,2,P,N,0.02601334729458665
17,191008,3,P,N,0.06017636595304477
18,191008,4,P,N,0.026921669799538268
19,191008,5,P,N,0.017119356100268712
20,191008,6,P,N,0.01371314670670014
21,191008,7,P,N,0.020424640771064883
22,191008,8,P,N,0.01650119217328775
23,191012,1,S,N,0.3473748096942764
24,191012,2,S,N,0.5618853639468379
25,191012,3,S,N,0.3046331728593178
26,191012,5,S,N,0.3616837427478089
27,191012,7,P,A,0.06846891330288442
28,191012,8,P,Y,0.07766530880961198
29,191016,1,P,AI,0.0007794413615793576
30,191016,2,P,AI,0.04238066985423283
31,191016,3,P,AI,0.05987738340371573
32,191016,4,P,N,0.00935329633895229
33,191016,5,P,N,0.008632022243162438
34,191016,6,P,AI,0.008445886992636023
35,191016,7,P,AI,0.022720134017380378
36,191016,8,P,AI,0.040181947207389566
37,191019,1,S,N,0.4492367561557527
38,191019,2,S,N,0.3741632114150703
39,191019,3,S,N,0.3839846193046258
40,191019,4,S,N,0.5191447962752774
41,191019,5,S,N,0.27208079497811033
42,191019,6,S,N,0.49791526719325474
43,191019,7,S,N,0.23847026939380603
44,191019,8,S,N,0.4464455305644993
45,191020,1,S,BI,0.11391213509200905
46,191020,2,S,N,0.5981448955929791
47,191020,3,S,AI,0.4148614985478298
48,191020,4,S,N,0.27821974262722277
49,191020,5,S,N,0.29673634787799474
50,191020,6,S,N,0.09549884629954886
51,191020,7,S,N,0.5465670236824282
52,191020,8,S,N,0.2924774138742524
53,191021,1,S,N,0.37271208555367225
54,191021,2,S,N,0.09452851585840233
55,191021,3,P,N,0.022680990647139878
56,191021,4,P,AI,0.04345970465935835
57,191021,5,P,N,0.048386113380565074
58,191021,6,P,Y,0.12719645883887962
59,191021,7,P,A,0.06832343580426062
60,191021,8,P,A,0.028156133013035472
61,191022,1,P,A,0.15020922968114575
62,191022,2,P,N,0.011775800082513114
63,191022,3,P,BI,0.09622207815170625
64,191022,4,P,A,0.055036246832085814
65,191022,5,P,N,0.027724406200271116
66,191022,6,P,AI,0.009995874344315436
67,191022,7,P,A,0.06766075322685212
68,191022,8,P,N,0.042482465963340606
69,191025,1,S,N,0.24393729623509447
70,191025,2,S,AI,0.5375932294225358
71,191025,3,S,N,0.6528292617569559
72,191025,4,S,N,0.3612388906256978
73,191025,5,S,N,0.6348421240677058
74,191025,6,S,N,0.32642579607878164
75,191025,7,S,N,0.7308851770800768
76,191025,8,S,N,0.7066343620204546
77,191029,1,D,B,0.02752272251795718
78,191029,2,D,B,0.008612473558195216
79,191029,3,D,N,0.021141821055812547
80,191029,4,D,N,0.0570794300192938
81,191029,5,D,N,0.011715753504265557
82,191029,6,D,N,0.0076942746228410705
83,191029,7,D,N,0.002301308724052163
84,191029,8,D,BI,0.006590111346149376
85,191105,1,D,B,0.0033032864901181343
86,191105,2,D,N,0.0019483791501035777
87,191105,3,D,N,0.0013773025026594255
88,191105,4,D,Y,0.10157326017580202
89,191105,5,D,Y,0.5177649627680421
90,191105,6,D,N,0.007737528693802139
91,191105,7,D,B,0.10956833324002016
92,191105,8,D,N,0.0025194557975477296
93,191113,1,P,N,0.03703481103952303
94,191113,2,P,N,0.0030291374170593327
95,191113,3,P,N,0.05189200884700452
96,191113,4,P,N,0.031757861332820464
97,191113,5,P,N,0.015854889893258967
98,191113,6,P,N,0.03565246658332532
99,191113,7,P,N,0.03633762861813636
100,191113,8,P,N,0.011575632272333878
101,191115,1,D,B,0.016098993812886694
102,191115,2,D,N,0.015286544590963064
103,191115,3,D,N,0.019061308668208238
104,191115,4,D,N,0.04377226423348541
105,191115,5,D,N,0.06945815886507094
106,191115,6,D,N,0.0034622836072745453
107,191115,7,D,N,0.07350790575589025
108,191115,8,D,N,0.011711768014499094
