#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,533,271,1,190919
2,368,551,1,190919
3,215,275,1,190919
4,530,272,2,190919
5,367,551,2,190919
6,208,271,2,190919
7,521,278,3,190919
8,364,551,3,190919
9,200,273,3,190919
10,527,270,4,190919
11,365,545,4,190919
12,207,266,4,190919
13,524,275,5,190919
14,361,555,5,190919
15,199,275,5,190919
16,533,273,6,190919
17,371,547,6,190919
18,212,272,6,190919
19,527,270,7,190919
20,365,548,7,190919
21,203,267,7,190919
22,523,272,8,190919
23,362,548,8,190919
24,199,272,8,190919
