#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,541,457,1,191003
2,213,461,1,191003
3,378,177,1,191003
4,545,459,2,191003
5,209,459,2,191003
6,377,174,2,191003
7,539,461,3,191003
8,204,462,3,191003
9,372,176,3,191003
10,545,475,4,191003
11,210,475,4,191003
12,376,187,4,191003
13,540,474,5,191003
14,205,473,5,191003
15,374,184,5,191003
16,550,485,6,191003
17,219,484,6,191003
18,382,197,6,191003
19,543,487,7,191003
20,212,489,7,191003
21,375,202,7,191003
22,540,488,8,191003
23,208,488,8,191003
24,378,200,8,191003
