#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,538,254,1,191105
2,372,539,1,191105
3,214,256,1,191105
4,533,255,2,191105
5,370,537,2,191105
6,206,253,2,191105
7,530,263,3,191105
8,367,541,3,191105
9,204,258,3,191105
10,535,272,4,191105
11,367,558,4,191105
12,204,271,4,191105
13,532,276,5,191105
14,367,561,5,191105
15,202,274,5,191105
16,537,274,6,191105
17,374,553,6,191105
18,210,267,6,191105
19,538,277,7,191105
20,371,558,7,191105
21,207,275,7,191105
22,532,276,8,191105
23,364,558,8,191105
24,202,277,8,191105
