#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,541,267,1,191113
2,376,551,1,191113
3,216,272,1,191113
4,541,262,2,191113
5,378,547,2,191113
6,214,264,2,191113
7,535,263,3,191113
8,372,547,3,191113
9,206,261,3,191113
10,546,281,4,191113
11,380,563,4,191113
12,214,281,4,191113
13,537,280,5,191113
14,371,565,5,191113
15,206,281,5,191113
16,539,292,6,191113
17,379,574,6,191113
18,215,292,6,191113
19,541,294,7,191113
20,375,575,7,191113
21,210,292,7,191113
22,535,291,8,191113
23,374,571,8,191113
24,204,289,8,191113
